"Task ID","Task Name","Due Date","Due Date Text","Time Logged (hours)","Time Logged Rolled Up (hours)","Time Estimate (hours)"
"86898038j","Deploy MD-4276","2024-08-05T00:00:00.000+00:00","Monday, August 5th 2024","","",""
"86897rtxe","Rework for MD-4466","2024-08-02T00:00:00.000+00:00","Friday, August 2nd 2024","","",""
"86897men0","Markup for MD-4280","2024-08-02T00:00:00.000+00:00","Friday, August 2nd 2024","","",""
"86897ru0e","Talk to Javi about styles for MD-4466","2024-08-05T00:00:00.000+00:00","Monday, August 5th 2024","","",""
"868983fnj","Deploy MD-4466","2024-08-05T00:00:00.000+00:00","Monday, August 5th 2024","","",""
"8689831d0","Logic for MD-4280","2024-08-05T00:00:00.000+00:00","Monday, August 5th 2024","","",""
"86898k9xc","Check code for newsLetterOptOut in API","2024-08-06T00:00:00.000+00:00","Tuesday, August 6th 2024","","",""
"86898rzby","Review MD-4287","2024-08-06T00:00:00.000+00:00","Tuesday, August 6th 2024","","",""
"86898rzcx","QA MD-4287","2024-08-06T00:00:00.000+00:00","Tuesday, August 6th 2024","","",""
"86898x00d","Review/QA MD-4525","2024-08-07T00:00:00.000+00:00","Wednesday, August 7th 2024","","",""
"86898ja29","Tests for MD-4280","2024-08-06T00:00:00.000+00:00","Tuesday, August 6th 2024","","",""
"86899q28z","Schedule FF WG meeting","2024-08-08T00:00:00.000+00:00","Thursday, August 8th 2024","","",""
"86899q2er","Create WG for partner reivew","2024-08-08T00:00:00.000+00:00","Thursday, August 8th 2024","","",""
"86899kgwg","Review/QA MD-4285","2024-08-08T00:00:00.000+00:00","Thursday, August 8th 2024","","",""
"86899tc70","Huddle with Lucas about testing MD-4280","2024-08-09T00:00:00.000+00:00","Friday, August 9th 2024","","",""
"86898znpj","MD-4283","2024-08-09T00:00:00.000+00:00","Friday, August 9th 2024","","",""
"8689aqry5","Review MD-4285","2024-08-13T00:00:00.000+00:00","Tuesday, August 13th 2024","","",""
"8689aqm95","Restyle MD-4283 according to DS best practices","2024-08-13T00:00:00.000+00:00","Tuesday, August 13th 2024","","",""
"8689aqrne","Create API ticket for MD-4283","2024-08-13T00:00:00.000+00:00","Tuesday, August 13th 2024","","",""
"8689aqnaa","Create form action for MD-4238","2024-08-13T00:00:00.000+00:00","Tuesday, August 13th 2024","","",""
"8689bwan7","Review MD-4499","2024-08-15T00:00:00.000+00:00","Thursday, August 15th 2024","","",""
"8689bwbdx","Create confirmation page for MD-4283","2024-08-15T00:00:00.000+00:00","Thursday, August 15th 2024","","",""
"8689cb0at","Review/QA MD-4501","2024-08-16T00:00:00.000+00:00","Friday, August 16th 2024","","",""
"8689cb0bn","Review/QA MD-4499","2024-08-16T00:00:00.000+00:00","Friday, August 16th 2024","","",""
"8689bgb76","Create axios request for MD-4283","2024-08-16T00:00:00.000+00:00","Friday, August 16th 2024","","",""
"8689d9hjj","MD-4288 Athlete Signup front-end","2024-08-20T00:00:00.000+00:00","Tuesday, August 20th 2024","","",""
"8689dqhtt","Review MD-4499","2024-08-21T00:00:00.000+00:00","Wednesday, August 21st 2024","","",""
"8689dqhq3","MD-4289","2024-08-21T00:00:00.000+00:00","Wednesday, August 21st 2024","","",""
"8689f7wtj","Review/QA MD-4550","2024-08-26T00:00:00.000+00:00","Monday, August 26th 2024","","",""
"8689f7x08","Update MD-4283 with new APIs","2024-08-27T00:00:00.000+00:00","Tuesday, August 27th 2024","","",""
"8689f90bf","MD-4550 Review #2","2024-08-27T00:00:00.000+00:00","Tuesday, August 27th 2024","","",""
"8689f7x75","Complete dev work for MD-4557 (update links)","2024-08-27T00:00:00.000+00:00","Tuesday, August 27th 2024","","",""
"8689gf6yy","Deploy MD-4288","2024-08-29T00:00:00.000+00:00","Thursday, August 29th 2024","","",""
"8689gf6wk","Deploy MD-4577","2024-08-29T00:00:00.000+00:00","Thursday, August 29th 2024","","",""
"8689g7m1k","MD-4576 - Connect youth athlete to LIP account on initial sign up","2024-08-29T00:00:00.000+00:00","Thursday, August 29th 2024","","",""
"8689gzuny","Write tests for MD-4576","2024-08-30T00:00:00.000+00:00","Friday, August 30th 2024","1:30","1:30","0:30"
"8689gf72v","Rework MD-4283","2024-08-29T00:00:00.000+00:00","Thursday, August 29th 2024","2:30","2:30","2:00"
"8689j7mh5","Review MD-4372","2024-09-03T00:00:00.000+00:00","Tuesday, September 3rd 2024","0:05","0:05","0:30"
"8689j7mp8","QA MD-4372","2024-09-03T00:00:00.000+00:00","Tuesday, September 3rd 2024","0:15","0:15","1:00"
"8689j7muj","Review MD-4528","2024-09-03T00:00:00.000+00:00","Tuesday, September 3rd 2024","0:02","0:02","0:30"
"8689j7my7","QA MD-4528","2024-09-03T00:00:00.000+00:00","Tuesday, September 3rd 2024","1:00","1:00","0:30"
"8689ja31z","Finalize MD-4576","2024-09-03T00:00:00.000+00:00","Tuesday, September 3rd 2024","2:00","2:00","0:30"
"8689j7n7h","Dev MD-4585","2024-09-04T00:00:00.000+00:00","Wednesday, September 4th 2024","1:30","1:30","1:30"
"8689k3yj0","MD-4594","2024-09-04T00:00:00.000+00:00","Wednesday, September 4th 2024","0:30","0:30","0:30"
"8689k3zdn","MD-4576 Fix Revoke Bug","2024-09-04T00:00:00.000+00:00","Wednesday, September 4th 2024","2:00","2:00","1:00"
"8689kjvec","Rework MD-4576","2024-09-05T00:00:00.000+00:00","Thursday, September 5th 2024","0:15","0:15","0:15"
"8689kjvn6","Review/QA MD-4613","2024-09-05T00:00:00.000+00:00","Thursday, September 5th 2024","0:45","0:45","0:30"
"8689m44ug","MD-4635 :: Fix test workflow","2024-09-06T00:00:00.000+00:00","Friday, September 6th 2024","","",""
"8689m45fa","MD-4588 :: Dev Work","2024-09-09T00:00:00.000+00:00","Monday, September 9th 2024","3:30","3:30","1:30"
"8689nhw85","Review MD-4615","2024-09-10T00:00:00.000+00:00","Tuesday, September 10th 2024","0:30","0:30","0:30"
"8689nhwhq","Dev work for MD-4632","2024-09-10T00:00:00.000+00:00","Tuesday, September 10th 2024","4:00","4:00","2:00"
"8689pcw0r","Review MD-4632","2024-09-11T00:00:00.000+00:00","Wednesday, September 11th 2024","1:00","1:00","0:30"
"8689mu8vj","MD-4584 :: Replicate Bug","2024-09-09T00:00:00.000+00:00","Monday, September 9th 2024","3:30","3:30","2:00"
"8689pvphf","Review/QA MD-4635","2024-09-12T00:00:00.000+00:00","Thursday, September 12th 2024","0:35","0:35","0:30"
"8689pvq56","MD-4584","2024-09-12T00:00:00.000+00:00","Thursday, September 12th 2024","4:00","4:00","1:00"
"8689qd69g","Review/QA MD-4624","2024-09-13T00:00:00.000+00:00","Friday, September 13th 2024","0:45","0:45","0:30"
"8689qd7ne","Review/QA MD-4635","2024-09-13T00:00:00.000+00:00","Friday, September 13th 2024","0:45","0:45","1:00"
"8689qd7u8","Review/QA MD-4634","2024-09-13T00:00:00.000+00:00","Friday, September 13th 2024","0:20","0:20","1:00"
"8689pvqnn","Dev work for MD-4622","2024-09-13T00:00:00.000+00:00","Friday, September 13th 2024","2:00","2:00","2:00"
